name,value
model_type,baseline
gnn_layer,graphconv
pooling_method,target
outpath,results
outname,A4_TestDisease
obs_window_start,1990
obs_window_end,2010
batchsize,250
num_workers,1
max_epochs,100
patience,5
learning_rate,0.001
main_hidden_dim,20
lstm_hidden_dim,20
loss,bce_weighted_single
gamma,1.0
alpha,1.0
beta,1.0
delta,1.0
dropout_rate,0.5
threshold_opt,precision_recall
ratio,0.5
local_test,True
explainability_mode,False
embeddings_mode,False
explainer_input,
device_specification,cpu
num_positive_samples,5000
device,cpu
num_batches_train,111
num_samples_train_dataset,27565
num_samples_train_minority_class,3050
num_samples_train_majority_class,24515
num_batches_validate,16
num_samples_valid_dataset,3872
num_samples_valid_minority_class,434
num_samples_valid_majority_class,3438
num_batches_test,32
include_longitudinal,True
num_features_static,2
num_features_longitudinal,20
threshold,0.5050000000000003
training_time,169.0616192817688
metric_auc_roc,0.6433463160433278
metric_auc_prc,0.16869708629980945
metric_f1,0.2472939217318901
metric_recall,0.6804123711340206
metric_mcc,0.12745348138047258
metric_ts,0.14109263657957244
metric_bss,-1.5289971993070064
true_negatives,3650
false_positives,3337
false_negatives,279
true_positives,594
