actual,pred_raw,pred_raw_se,pred_binary
0.0,0.7104273041089376,0.04030291721983019,1
1.0,0.5790229638417562,0.015288165846116943,0
0.0,0.21848062177499136,0.03474757803038977,0
0.0,0.686621904373169,0.062286919054052196,1
0.0,0.5367765426635742,0.010245317694104613,0
0.0,0.1526228984196981,0.006690742618568377,0
0.0,0.6979697346687317,0.032356412489935385,1
1.0,0.653829038143158,0.04348225114626793,1
0.0,0.24700133502483368,0.03187010015852344,0
0.0,0.5290922323862711,0.021485804237023565,0
0.0,0.33994343876838684,0.016052801240312782,0
0.0,0.41825907429059345,0.023348548853709558,0
0.0,0.4858619769414266,0.016670783492864324,0
0.0,0.12341660757859547,0.019704862043969033,0
0.0,0.6301097472508749,0.07460855768429674,1
0.0,0.3793754279613495,0.04787506491199263,0
0.0,0.49909894665082294,0.009194759665919037,0
0.0,0.561320424079895,0.01997564860443175,0
0.0,0.285020649433136,0.00798384195541095,0
0.0,0.28932950894037884,0.004582805416026663,0
0.0,0.35494301716486615,0.03866982929734343,0
0.0,0.5080273548762003,0.005164781346248877,0
0.0,0.09661187728246053,0.010357612834398327,0
0.0,0.3457162876923879,0.02955823999012197,0
0.0,0.12024831771850586,0.04373430384078153,0
1.0,0.6906685829162598,0.018961886127392732,1
0.0,0.1652742369721333,0.06103070564101665,0
0.0,0.31252547601858777,0.038216971737885096,0
0.0,0.1197479460388422,0.04255740803689985,0
0.0,0.1752492015560468,0.030994983808055997,0
0.0,0.3936893939971924,0.008711076154671732,0
1.0,0.7594521244366964,0.036543415374308955,1
0.0,0.1971333771944046,0.034242980437064675,0
0.0,0.4017997086048126,0.04724941632495885,0
1.0,0.4823238054911296,0.021598255743082193,0
0.0,0.09418958549698193,0.027690676508319034,0
0.0,0.25862446427345276,0.03141014257689505,0
0.0,0.38539835810661316,0.03834960552170768,0
0.0,0.39903538425763446,0.03671143935426802,0
0.0,0.3576045632362366,0.021437434194237118,0
0.0,0.6825994253158569,0.022037671379326725,1
0.0,0.4568847119808197,0.03626747954270117,0
0.0,0.5501551230748495,0.01259167806665643,0
0.0,0.4283687273661296,0.01434302106097102,0
0.0,0.23666860163211823,0.015118408884757047,0
0.0,0.5599021514256796,0.015418699407949352,0
1.0,0.656480630238851,0.025174160766180138,1
0.0,0.31762134035428363,0.022211379401860385,0
0.0,0.5498056511084238,0.026818628185254413,0
0.0,0.5676443179448446,0.021027470261937527,0
0.0,0.329839289188385,0.01704944730160775,0
0.0,0.2910526692867279,0.06051224928589509,0
0.0,0.5242822170257568,0.009566866984705685,0
0.0,0.08342396002262831,0.029304395017297008,0
0.0,0.6237542629241943,0.020641066259409736,1
0.0,0.3097314735253652,0.01745008158711133,0
0.0,0.5588772098223368,0.018321265926268857,0
0.0,0.5234123667081197,0.006460541801428206,0
0.0,0.46238528688748676,0.0268889237811134,0
0.0,0.42491795619328815,0.012309799237167315,0
0.0,0.6240174969037374,0.02554712719096132,1
